16.13652871,-1.76E-14
22.52242543,-20.73487842
22.75021866,-28.5461968
1.104603483,-18.16309691
9.988112723,-13.15819586
14.31119141,-10.72260645
17.7000709,-13.56838952
13.36196524,-16.05562718
34.52644769,29.60093331
40.16497823,32.42363822
45.21309791,29.1236702
39.55533669,26.21810481
14.63176041,32.79534009
5.926173196,28.67542423
16.21449001,21.09479639
25.01088008,25.48622314
25.33704739,8.162218178
16.96428787,3.670802209
27.43435668,-4.586572082
35.88262,0.195816048
36.29628582,37.05208659
26.93800399,32.50106108
43.68675595,21.12443976
53.15163324,26.13635178
50.11504448,-27.25026057
33.53867766,-37.95545539
33.5778362,-30.12268065
42.22749992,-24.68286656
7.68718284,3.388123497
-9.358184761,-5.591506818
-8.416482621,-13.33633159
-5.397550599,-16.08978759
-6.277885662,-8.330017215
-15.29407472,-13.15819586
-14.18728975,-20.941173
5.072887852,-39.34990866
4.384321305,-31.51523671